Ejercicio,q,nombreQ,idMunicipio,programa,subPrograma,nombre,noLocalidad,ejecutor,obraOAccion,modalidad,situacion,federal,estatal,municipal,beneficiarios,otros,meta,metaCantidad,tipoBeneficiario,numeroMujeres,numeroHombres,fechaInicio,fechaTermino,tieneProyecto,tieneExpTec,coordenadas - descripcion,coordenadas - geometria,coordenadas - tipoCoordenada,coordenadas - esCentroDeObra,estatus,porcentajeAvance,idRubro,idEjeEstrategico
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,BIRRIA Y ASADA LOS COMPIS,,SDES,2,AD,IT,0,"$19,786.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TORTAS EL VIEJO PORTAL,,SDES,2,AD,IT,0,"$22,000.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PIZZAS SANTA ANITA,,SDES,2,AD,IT,0,"$27,548.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,POSTRES LAS BRUJAS,,SDES,2,AD,IT,0,"$30,000.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,GORDITAS LETTY,,SDES,2,AD,IT,0,"$23,407.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PAN Y PASTELES CANDY S,,SDES,2,AD,IT,0,"$26,716.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PANADERIA TELLO,,SDES,2,AD,IT,0,"$30,302.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,COCINA DE ABY,,SDES,2,AD,IT,0,"$25,507.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PASTELERIA GISELL,,SDES,2,AD,IT,0,"$21,400.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,REPOSTERIA LA FLOR,,SDES,2,AD,IT,0,"$17,428.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TORTILLERIA LA NEGRITA,,SDES,2,AD,IT,0,"$20,895.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
